"Candidate","Party","Votes","State","Const"
"GODAM NAGESH","Telangana Rashtra Samithi",5,"Andhra Pradesh","Andhra Pradesh - Adilabad"
"NARESH","Indian National Congress",3,"Andhra Pradesh","Andhra Pradesh - Adilabad"
"RAMESH RATHOD","Telugu Desam",2,"Andhra Pradesh","Andhra Pradesh - Adilabad"
"RATHOD SADASHIV","Bahujan Samaj Party",9,"Andhra Pradesh","Andhra Pradesh - Adilabad"
"NETHAWATH RAMDAS","Independent",4,"Andhra Pradesh","Andhra Pradesh - Adilabad"
"MOSALI CHINNAIAH","Independent",8,"Andhra Pradesh","Andhra Pradesh - Adilabad"
"PAWAR KRISHNA","Independent",7,"Andhra Pradesh","Andhra Pradesh - Adilabad"
"BANKA SAHADEV","Independent",6,"Andhra Pradesh","Andhra Pradesh - Adilabad"
"None of the Above","None of the Above",1,"Andhra Pradesh","Andhra Pradesh - Adilabad"
"BALKA SUMAN","Telangana Rashtra Samithi",23,"Andhra Pradesh","Andhra Pradesh - Peddapalle"
"G. VIVEKANAND","Indian National Congress",16,"Andhra Pradesh","Andhra Pradesh - Peddapalle"
"DR.JANAPATI SARAT BABU","Telugu Desam",24,"Andhra Pradesh","Andhra Pradesh - Peddapalle"
"VELTHURU MALLAIAH","Republican Paksha (Khoripa)",21,"Andhra Pradesh","Andhra Pradesh - Peddapalle"
"TAGARAM SHANKAR LAL","Bahujan Samaj Party",29,"Andhra Pradesh","Andhra Pradesh - Peddapalle"
"KALVALA SHANKAR","Pyramid Party of India",28,"Andhra Pradesh","Andhra Pradesh - Peddapalle"
"JINNA RAMADEVI","Independent",27,"Andhra Pradesh","Andhra Pradesh - Peddapalle"
"KALVALA SANJEEV","Republican Party of India",26,"Andhra Pradesh","Andhra Pradesh - Peddapalle"
"BUPELLI NARAYANA","Independent",25,"Andhra Pradesh","Andhra Pradesh - Peddapalle"
"VENKATA SWAMY INJAM","Mahajana Socialist Party",20,"Andhra Pradesh","Andhra Pradesh - Peddapalle"
"THALLAPALLI SRINIVAS","Independent",19,"Andhra Pradesh","Andhra Pradesh - Peddapalle"
"GADDALA VINAY KUMAR","Independent",18,"Andhra Pradesh","Andhra Pradesh - Peddapalle"
"J.V. RAJU","New India Party",17,"Andhra Pradesh","Andhra Pradesh - Peddapalle"
"KAMILLA JAYA RAO","Independent",15,"Andhra Pradesh","Andhra Pradesh - Peddapalle"
"MOUTAM RAVINDER","Independent",14,"Andhra Pradesh","Andhra Pradesh - Peddapalle"
"GORRE RAMESH","Independent",13,"Andhra Pradesh","Andhra Pradesh - Peddapalle"
"BOTHA VENKATA MALLAIAH","B. C. United Front",12,"Andhra Pradesh","Andhra Pradesh - Peddapalle"
"None of the Above","None of the Above",22,"Andhra Pradesh","Andhra Pradesh - Peddapalle"
"VINOD KUMAR BOINAPALLY","Telangana Rashtra Samithi",44,"Andhra Pradesh","Andhra Pradesh - Karimnagar"
"PONNAM PRABHAKAR","Indian National Congress",36,"Andhra Pradesh","Andhra Pradesh - Karimnagar"
"CHENNAMANENI VIDYA SAGAR RAO","Bharatiya Janata Party",33,"Andhra Pradesh","Andhra Pradesh - Karimnagar"
"SHAIK MAHMOOD","Welfare Party Of India",40,"Andhra Pradesh","Andhra Pradesh - Karimnagar"
"B. LAXMAN","Bahujan Samaj Party",30,"Andhra Pradesh","Andhra Pradesh - Karimnagar"
"REDDI MALLA SRINIVAS","Republican Party of India (A)",47,"Andhra Pradesh","Andhra Pradesh - Karimnagar"
"MOHAMMED AMJAD MOHIUDDIN","Independent",46,"Andhra Pradesh","Andhra Pradesh - Karimnagar"
"BURLA. RAVI","Nationalist Congress Party",43,"Andhra Pradesh","Andhra Pradesh - Karimnagar"
"KANDEM PRABHAKAR","Independent",42,"Andhra Pradesh","Andhra Pradesh - Karimnagar"
"L. PRABHAKAR REDDY","Pyramid Party of India",41,"Andhra Pradesh","Andhra Pradesh - Karimnagar"
"SRINIVAS REDDY LINGAMPALLY","Independent",39,"Andhra Pradesh","Andhra Pradesh - Karimnagar"
"DR.DHARMAIAH VENDAVETLA","Bahujan Mukti Party",38,"Andhra Pradesh","Andhra Pradesh - Karimnagar"
"MEESALA RAJI REDDY","Yuvajana Sramika Rythu Congress Party",37,"Andhra Pradesh","Andhra Pradesh - Karimnagar"
"MALLESH YADAV BARLA","Independent",35,"Andhra Pradesh","Andhra Pradesh - Karimnagar"
"UPPULETI.LAXMAN","Independent",34,"Andhra Pradesh","Andhra Pradesh - Karimnagar"
"RANAVENI LAKSHMAN","New India Party",32,"Andhra Pradesh","Andhra Pradesh - Karimnagar"
"PULIKOTA RAMESH","Independent",31,"Andhra Pradesh","Andhra Pradesh - Karimnagar"
"None of the Above","None of the Above",45,"Andhra Pradesh","Andhra Pradesh - Karimnagar"
"KALVAKUNTLA KAVITHA","Telangana Rashtra Samithi",60,"Andhra Pradesh","Andhra Pradesh - Nizamabad"
"MADHU YASKHI GOUD","Indian National Congress",53,"Andhra Pradesh","Andhra Pradesh - Nizamabad"
"ENDALA LAKSHMINARAYANA","Bharatiya Janata Party",50,"Andhra Pradesh","Andhra Pradesh - Nizamabad"
"MALIK MOHTASIM KHAN","Welfare Party Of India",59,"Andhra Pradesh","Andhra Pradesh - Nizamabad"
"BAGWAN B","Independent",64,"Andhra Pradesh","Andhra Pradesh - Nizamabad"
"TALARI RAMULU","Bahujan Samaj Party",63,"Andhra Pradesh","Andhra Pradesh - Nizamabad"
"ABDUL GANI","B. C. United Front",61,"Andhra Pradesh","Andhra Pradesh - Nizamabad"
"KANDEM PRABHAKAR","Independent",58,"Andhra Pradesh","Andhra Pradesh - Nizamabad"
"BANJA VEERAPPA","Pyramid Party of India",57,"Andhra Pradesh","Andhra Pradesh - Nizamabad"
"SINGAREDDY RAVINDRA REDDY","Yuvajana Sramika Rythu Congress Party",56,"Andhra Pradesh","Andhra Pradesh - Nizamabad"
"CHIRULINGADRULA VENKATESHAM","Independent",55,"Andhra Pradesh","Andhra Pradesh - Nizamabad"
"S. CHANDRAIAH","Independent",54,"Andhra Pradesh","Andhra Pradesh - Nizamabad"
"RAPELLY SRINIVAS","Aam Aadmi Party",52,"Andhra Pradesh","Andhra Pradesh - Nizamabad"
"KOTAPATI NARSIMHAM NAIDU","Independent",51,"Andhra Pradesh","Andhra Pradesh - Nizamabad"
"SAGAR SUDDALA","Bahujan Mukti Party",49,"Andhra Pradesh","Andhra Pradesh - Nizamabad"
"ABDUL KAREEM KHAN (BABU)","Independent",48,"Andhra Pradesh","Andhra Pradesh - Nizamabad"
"None of the Above","None of the Above",62,"Andhra Pradesh","Andhra Pradesh - Nizamabad"
"B.B. PATIL","Telangana Rashtra Samithi",74,"Andhra Pradesh","Andhra Pradesh - Zahirabad"
"SURESH KUMAR SHETKAR","Indian National Congress",71,"Andhra Pradesh","Andhra Pradesh - Zahirabad"
"K.MADAN MOHAN RAO","Telugu Desam",67,"Andhra Pradesh","Andhra Pradesh - Zahirabad"
"MARRI DURGESH","Republican Party of India (A)",68,"Andhra Pradesh","Andhra Pradesh - Zahirabad"
"MAHMOOD MOHIUDDIN","Yuvajana Sramika Rythu Congress Party",66,"Andhra Pradesh","Andhra Pradesh - Zahirabad"
"SYED FEROZUDDIN","Bahujan Samaj Party",75,"Andhra Pradesh","Andhra Pradesh - Zahirabad"
"BENJAMIN RAJU","Independent",73,"Andhra Pradesh","Andhra Pradesh - Zahirabad"
"RAMA RAO","Independent",72,"Andhra Pradesh","Andhra Pradesh - Zahirabad"
"DR. SUNEEL KUMAR CHOWDHARY","Aam Aadmi Party",70,"Andhra Pradesh","Andhra Pradesh - Zahirabad"
"TANDALE AMBAJI RAO","Independent",69,"Andhra Pradesh","Andhra Pradesh - Zahirabad"
"None of the Above","None of the Above",65,"Andhra Pradesh","Andhra Pradesh - Zahirabad"
"KALVAKUNTLA CHANDRASEKHAR RAO","Telangana Rashtra Samithi",87,"Andhra Pradesh","Andhra Pradesh - Medak"
"DR.P. SHRAVAN KUMAR REDDY","Indian National Congress",80,"Andhra Pradesh","Andhra Pradesh - Medak"
"CHAGANLA NARENDRA NATH","Bharatiya Janata Party",78,"Andhra Pradesh","Andhra Pradesh - Medak"
"KUNDETI. RAVI.","Independent",84,"Andhra Pradesh","Andhra Pradesh - Medak"
"PRABHUGOUD, PULLAIAHGARI","Yuvajana Sramika Rythu Congress Party",77,"Andhra Pradesh","Andhra Pradesh - Medak"
"KOMPELLI PRABHUDAS","Republican Party of India (A)",89,"Andhra Pradesh","Andhra Pradesh - Medak"
"Y. SHANKAR GOUD","Bahujan Samaj Party",88,"Andhra Pradesh","Andhra Pradesh - Medak"
"IQBAL ALI ZAFAR","Majlis Bachao Tahreek",86,"Andhra Pradesh","Andhra Pradesh - Medak"
"MEKA. SUBBA RAO","Independent",85,"Andhra Pradesh","Andhra Pradesh - Medak"
"BOMMA BALESHAM","Pyramid Party of India",83,"Andhra Pradesh","Andhra Pradesh - Medak"
"GAJABINKAR BANSILAL","Independent",82,"Andhra Pradesh","Andhra Pradesh - Medak"
"BALARAJU MITTAPALLY","Independent",81,"Andhra Pradesh","Andhra Pradesh - Medak"
"GURJADA BHEERAIAH YADAV","Independent",79,"Andhra Pradesh","Andhra Pradesh - Medak"
"None of the Above","None of the Above",76,"Andhra Pradesh","Andhra Pradesh - Medak"
"CH.MALLA REDDY","Telugu Desam",110,"Andhra Pradesh","Andhra Pradesh - Malkajgiri"
"HANUMANTH RAO MYNAMPALLY","Telangana Rashtra Samithi",108,"Andhra Pradesh","Andhra Pradesh - Malkajgiri"
"SARVEY SATHYANARAYANA","Indian National Congress",104,"Andhra Pradesh","Andhra Pradesh - Malkajgiri"
"DR.JAYAPRAKASH  NARAYAN .N","Lok Satta Party",99,"Andhra Pradesh","Andhra Pradesh - Malkajgiri"
"V.DINESH REDDY","Yuvajana Sramika Rythu Congress Party",92,"Andhra Pradesh","Andhra Pradesh - Malkajgiri"
"DIVAKAR DHARANIKOTA SUDHAKAR","All India Majlis-E-Ittehadul Muslimeen",101,"Andhra Pradesh","Andhra Pradesh - Malkajgiri"
"PROF. K.NAGESHWAR","Independent",94,"Andhra Pradesh","Andhra Pradesh - Malkajgiri"
"DR.N.V.SUDHA KIRAN","Aam Aadmi Party",118,"Andhra Pradesh","Andhra Pradesh - Malkajgiri"
"JAJULA BHASKAR","Shramajeevi Party",116,"Andhra Pradesh","Andhra Pradesh - Malkajgiri"
"KARUNAKAR.R","Bahujan Samaj Party",114,"Andhra Pradesh","Andhra Pradesh - Malkajgiri"
"D.BIKSHAPATHI","Independent",112,"Andhra Pradesh","Andhra Pradesh - Malkajgiri"
"BANDI SUDHAKAR","Jai Samaikyandhra Party",106,"Andhra Pradesh","Andhra Pradesh - Malkajgiri"
"ANJANEYULU.E","Independent",105,"Andhra Pradesh","Andhra Pradesh - Malkajgiri"
"KANTE SAYANNA","Independent",103,"Andhra Pradesh","Andhra Pradesh - Malkajgiri"
"SURAKANTI VENKAT REDDY","Pyramid Party of India",102,"Andhra Pradesh","Andhra Pradesh - Malkajgiri"
"DASARI BHARATH REDDY","Independent",100,"Andhra Pradesh","Andhra Pradesh - Malkajgiri"
"KOYALKAR BHOJ RAJ","Independent",98,"Andhra Pradesh","Andhra Pradesh - Malkajgiri"
"GAJABINKAR BANSILAL","Independent",97,"Andhra Pradesh","Andhra Pradesh - Malkajgiri"
"MURARI.T.N","Shivsena",96,"Andhra Pradesh","Andhra Pradesh - Malkajgiri"
"PEESARI SATISH REDDY","Independent",95,"Andhra Pradesh","Andhra Pradesh - Malkajgiri"
"M.NAGESWARA RAO","Independent",93,"Andhra Pradesh","Andhra Pradesh - Malkajgiri"
"VATTIKUTI RAMARAO GOUD","Independent",91,"Andhra Pradesh","Andhra Pradesh - Malkajgiri"
"M.T.VARUGHESE","Independent",90,"Andhra Pradesh","Andhra Pradesh - Malkajgiri"
"RAHUL PANDIT","Independent",120,"Andhra Pradesh","Andhra Pradesh - Malkajgiri"
"PADURI SRINIVAS REDDY","Telangana Loksatta Party",117,"Andhra Pradesh","Andhra Pradesh - Malkajgiri"
"B.VEERA HANUMANTHA REDDY","Independent",115,"Andhra Pradesh","Andhra Pradesh - Malkajgiri"
"SATHYANARAYANA YAADAV PEDDIBOYINA","B.C.Bharata Desam Party",113,"Andhra Pradesh","Andhra Pradesh - Malkajgiri"
"SUTHARAPU PADMAIAH","Andhra Pradesh Rashtra Samaikya Samithi Party",111,"Andhra Pradesh","Andhra Pradesh - Malkajgiri"
"POLISETTY KRISHNA RAO","Independent",109,"Andhra Pradesh","Andhra Pradesh - Malkajgiri"
"POTTURI TULASI DAS","Independent",107,"Andhra Pradesh","Andhra Pradesh - Malkajgiri"
"None of the Above","None of the Above",119,"Andhra Pradesh","Andhra Pradesh - Malkajgiri"
"BANDARU DATTATREYA","Bharatiya Janata Party",138,"Andhra Pradesh","Andhra Pradesh - Secundrabad"
"M.ANJAN KUMAR YADAV","Indian National Congress",127,"Andhra Pradesh","Andhra Pradesh - Secundrabad"
"NARLA MOHAN RAO","All India Majlis-E-Ittehadul Muslimeen",124,"Andhra Pradesh","Andhra Pradesh - Secundrabad"
"T.BHEEMSEN","Telangana Rashtra Samithi",123,"Andhra Pradesh","Andhra Pradesh - Secundrabad"
"SYED SAJID ALI","Yuvajana Sramika Rythu Congress Party",139,"Andhra Pradesh","Andhra Pradesh - Secundrabad"
"CHAYA RATAN MUSINIPALLY","Aam Aadmi Party",121,"Andhra Pradesh","Andhra Pradesh - Secundrabad"
"K. SRINIVASULU","Jai Samaikyandhra Party",135,"Andhra Pradesh","Andhra Pradesh - Secundrabad"
"KHAJA KHALID ANWAR","Bahujan Samaj Party",132,"Andhra Pradesh","Andhra Pradesh - Secundrabad"
"K.SAI KRISHNA MOHAN RAO","Indian Christian Secular Party",131,"Andhra Pradesh","Andhra Pradesh - Secundrabad"
"B.SUBRAMANYAM","Independent",130,"Andhra Pradesh","Andhra Pradesh - Secundrabad"
"SONU SARSAL VALMIKI","Telangana Communist Party of India",129,"Andhra Pradesh","Andhra Pradesh - Secundrabad"
"J.RAMULU","Revolutionary Socialist Party",128,"Andhra Pradesh","Andhra Pradesh - Secundrabad"
"B.DEEPAK KUMAR","Republican Party of India (Khobragade)",126,"Andhra Pradesh","Andhra Pradesh - Secundrabad"
"RAGHU DESHABOINA","Bahujan Mukti Party",125,"Andhra Pradesh","Andhra Pradesh - Secundrabad"
"AVULA RANGANAYAKULU","Independent",122,"Andhra Pradesh","Andhra Pradesh - Secundrabad"
"KLHAJA SIRAJUDDIN AZAZ","Majlis Markaz-e-Siyasee Party",151,"Andhra Pradesh","Andhra Pradesh - Secundrabad"
"DR.N.S.UDAY KUMAR","Prem Janata Dal",150,"Andhra Pradesh","Andhra Pradesh - Secundrabad"
"S. LAKSHMAN RAO","Independent",149,"Andhra Pradesh","Andhra Pradesh - Secundrabad"
"DR.MALATHI LATHA EPPA","Jantantra Party",148,"Andhra Pradesh","Andhra Pradesh - Secundrabad"
"ABDUS SATTAR MUJAHED","Akhil Bharatiya Muslim League (Secular)",147,"Andhra Pradesh","Andhra Pradesh - Secundrabad"
"MOHD IMTIAZ HUSSAIN","Indian Union Muslim League",146,"Andhra Pradesh","Andhra Pradesh - Secundrabad"
"ANANTH RAO GUNDEPALLY","Independent",145,"Andhra Pradesh","Andhra Pradesh - Secundrabad"
"SHAKTHI SATYAVATHI","Pyramid Party of India",143,"Andhra Pradesh","Andhra Pradesh - Secundrabad"
"CH. MURAHARI","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)",142,"Andhra Pradesh","Andhra Pradesh - Secundrabad"
"KUMAR CHOWDARY YADAV.G","Samaikyandhra Parirakshana Samithi",141,"Andhra Pradesh","Andhra Pradesh - Secundrabad"
"KARANKOTE NARENDER","All India Forward Bloc",140,"Andhra Pradesh","Andhra Pradesh - Secundrabad"
"SYED MADANI QUADRI","Independent",137,"Andhra Pradesh","Andhra Pradesh - Secundrabad"
"MOHAMMED RIZWAN HUSSAIN","Independent",136,"Andhra Pradesh","Andhra Pradesh - Secundrabad"
"MOHD ABUBAKAR PARWAIZ SIDDIQUI","Independent",134,"Andhra Pradesh","Andhra Pradesh - Secundrabad"
"MICHAEL DANIEL OVELZ","Independent",133,"Andhra Pradesh","Andhra Pradesh - Secundrabad"
"None of the Above","None of the Above",144,"Andhra Pradesh","Andhra Pradesh - Secundrabad"
"ASADUDDIN OWAISI","All India Majlis-E-Ittehadul Muslimeen",162,"Andhra Pradesh","Andhra Pradesh - Hyderabad"
"DR.BHAGAVANTH RAO","Bharatiya Janata Party",157,"Andhra Pradesh","Andhra Pradesh - Hyderabad"
"S KRISHNA REDDY","Indian National Congress",160,"Andhra Pradesh","Andhra Pradesh - Hyderabad"
"RASHID SHAREEF","Telangana Rashtra Samithi",158,"Andhra Pradesh","Andhra Pradesh - Hyderabad"
"BINGHI RAJASHEKAR","Pyramid Party of India",155,"Andhra Pradesh","Andhra Pradesh - Hyderabad"
"BODDU SAINATH REDDY","Yuvajana Sramika Rythu Congress Party",152,"Andhra Pradesh","Andhra Pradesh - Hyderabad"
"LUBNA SARWATH","Aam Aadmi Party",165,"Andhra Pradesh","Andhra Pradesh - Hyderabad"
"M A HABEEB","Independent",164,"Andhra Pradesh","Andhra Pradesh - Hyderabad"
"VENU GOPAL.P","Bahujan Samaj Party",156,"Andhra Pradesh","Andhra Pradesh - Hyderabad"
"SYED MUSTAFA MAHMOOD","Majlis Bachao Tahreek",154,"Andhra Pradesh","Andhra Pradesh - Hyderabad"
"S.KHAJA MOINUDDIN","All India Azaad Congress Party",153,"Andhra Pradesh","Andhra Pradesh - Hyderabad"
"SYED ABDUL GAFFER","Independent",168,"Andhra Pradesh","Andhra Pradesh - Hyderabad"
