"candidate","Party","Votes","State","const","winner"
"BISHNU PADA RAY","Bharatiya Janata Party",90969,"Andaman & Nicobar Islands","Andaman & Nicobar Islands",1
"KULDEEP RAI SHARMA","Indian National Congress",83157,"Andaman & Nicobar Islands","Andaman & Nicobar Islands",0
"SANJAY MESHACK","Aam Aadmi Party",3737,"Andaman & Nicobar Islands","Andaman & Nicobar Islands",0
"ANITA MONDAL","All India Trinamool Congress",2283,"Andaman & Nicobar Islands","Andaman & Nicobar Islands",0
"K.G.DAS","Communist Party of India  (Marxist)",1777,"Andaman & Nicobar Islands","Andaman & Nicobar Islands",0
"PRAKASH MINJ","Independent",1587,"Andaman & Nicobar Islands","Andaman & Nicobar Islands",0
"None of the Above","None of the Above",1564,"Andaman & Nicobar Islands","Andaman & Nicobar Islands",0
"R.S.UMA BHARATTHY","Nationalist Congress Party",1151,"Andaman & Nicobar Islands","Andaman & Nicobar Islands",0
"GOUR CHANDRA MAJUMDER","Bahujan Samaj Party",1139,"Andaman & Nicobar Islands","Andaman & Nicobar Islands",0
"SARAVANAN","Independent",847,"Andaman & Nicobar Islands","Andaman & Nicobar Islands",0
"N K P NAIR","Communist Party of India  (Marxist-Leninist)  (Liberation)",436,"Andaman & Nicobar Islands","Andaman & Nicobar Islands",0
"V V KHALID","Independent",429,"Andaman & Nicobar Islands","Andaman & Nicobar Islands",0
"RAGHUBIR SINGH","Samajwadi Party",379,"Andaman & Nicobar Islands","Andaman & Nicobar Islands",0
"C G SAJI KUMAR","Independent",334,"Andaman & Nicobar Islands","Andaman & Nicobar Islands",0
"N KANNAN","Independent",314,"Andaman & Nicobar Islands","Andaman & Nicobar Islands",0
"A PANDIAN","All India Forward Bloc",225,"Andaman & Nicobar Islands","Andaman & Nicobar Islands",0
"GODAM NAGESH","Telangana Rashtra Samithi",430847,"Andhra Pradesh","Adilabad",1
"NARESH","Indian National Congress",259557,"Andhra Pradesh","Adilabad",0
"RAMESH RATHOD","Telugu Desam",184198,"Andhra Pradesh","Adilabad",0
"RATHOD SADASHIV","Bahujan Samaj Party",94420,"Andhra Pradesh","Adilabad",0
"NETHAWATH RAMDAS","Independent",41032,"Andhra Pradesh","Adilabad",0
"None of the Above","None of the Above",17084,"Andhra Pradesh","Adilabad",0
"MOSALI CHINNAIAH","Independent",8859,"Andhra Pradesh","Adilabad",0
"PAWAR KRISHNA","Independent",5055,"Andhra Pradesh","Adilabad",0
"BANKA SAHADEV","Independent",4787,"Andhra Pradesh","Adilabad",0
"BALKA SUMAN","Telangana Rashtra Samithi",565496,"Andhra Pradesh","Peddapalle",1
"G. VIVEKANAND","Indian National Congress",274338,"Andhra Pradesh","Peddapalle",0
"DR.JANAPATI SARAT BABU","Telugu Desam",63334,"Andhra Pradesh","Peddapalle",0
"VELTHURU MALLAIAH","Republican Paksha (Khoripa)",45977,"Andhra Pradesh","Peddapalle",0
"TAGARAM SHANKAR LAL","Bahujan Samaj Party",9449,"Andhra Pradesh","Peddapalle",0
"KALVALA SHANKAR","Pyramid Party of India",9290,"Andhra Pradesh","Peddapalle",0
"JINNA RAMADEVI","Independent",9199,"Andhra Pradesh","Peddapalle",0
"KALVALA SANJEEV","Republican Party of India",8609,"Andhra Pradesh","Peddapalle",0
"BUPELLI NARAYANA","Independent",7258,"Andhra Pradesh","Peddapalle",0
"None of the Above","None of the Above",5361,"Andhra Pradesh","Peddapalle",0
"VENKATA SWAMY INJAM","Mahajana Socialist Party",3866,"Andhra Pradesh","Peddapalle",0
"THALLAPALLI SRINIVAS","Independent",3699,"Andhra Pradesh","Peddapalle",0
"GADDALA VINAY KUMAR","Independent",3266,"Andhra Pradesh","Peddapalle",0
"J.V. RAJU","New India Party",3020,"Andhra Pradesh","Peddapalle",0
"KAMILLA JAYA RAO","Independent",2742,"Andhra Pradesh","Peddapalle",0
"MOUTAM RAVINDER","Independent",2674,"Andhra Pradesh","Peddapalle",0
"GORRE RAMESH","Independent",2361,"Andhra Pradesh","Peddapalle",0
"BOTHA VENKATA MALLAIAH","B. C. United Front",2245,"Andhra Pradesh","Peddapalle",0
"VINOD KUMAR BOINAPALLY","Telangana Rashtra Samithi",505783,"Andhra Pradesh","Karimnagar",1
"PONNAM PRABHAKAR","Indian National Congress",300706,"Andhra Pradesh","Karimnagar",0
"CHENNAMANENI VIDYA SAGAR RAO","Bharatiya Janata Party",214828,"Andhra Pradesh","Karimnagar",0
"SHAIK MAHMOOD","Welfare Party Of India",39325,"Andhra Pradesh","Karimnagar",0
"B. LAXMAN","Bahujan Samaj Party",11333,"Andhra Pradesh","Karimnagar",0
"REDDI MALLA SRINIVAS","Republican Party of India (A)",8040,"Andhra Pradesh","Karimnagar",0
"MOHAMMED AMJAD MOHIUDDIN","Independent",6720,"Andhra Pradesh","Karimnagar",0
"None of the Above","None of the Above",5747,"Andhra Pradesh","Karimnagar",0
"BURLA. RAVI","Nationalist Congress Party",4769,"Andhra Pradesh","Karimnagar",0
"KANDEM PRABHAKAR","Independent",4731,"Andhra Pradesh","Karimnagar",0
"L. PRABHAKAR REDDY","Pyramid Party of India",3944,"Andhra Pradesh","Karimnagar",0
"SRINIVAS REDDY LINGAMPALLY","Independent",3865,"Andhra Pradesh","Karimnagar",0
"DR.DHARMAIAH VENDAVETLA","Bahujan Mukti Party",3773,"Andhra Pradesh","Karimnagar",0
