"Constituency","ConstNo","LeadingCandidate","LeadingParty","TrailingCandidate","TrailingParty","Margin","Status","State"
"Adilabad","1","GODAM NAGESH","Telangana Rashtra Samithi","NARESH","Indian National Congress","171290","Counting In Progress","Andhra Pradesh"
"Amalapuram","24","DR PANDULA RAVINDRA BABU","Telugu Desam","PINIPE VISWARUPU","Yuvajana Sramika Rythu Congress Party","120576","Result Declared","Andhra Pradesh"
"Anakapalli","22","MUTTAMSETTI SRINIVASA RAO (AVANTHI)","Telugu Desam","GUDIVADA AMARNADH","Yuvajana Sramika Rythu Congress Party","47932","Counting In Progress","Andhra Pradesh"
"Anantapur","36","J.C. DIVAKAR REDDI","Telugu Desam","ANANTHA VENKATARAMIREDDY","Yuvajana Sramika Rythu Congress Party","61269","Result Declared","Andhra Pradesh"
"Aruku","18","KOTHAPALLI GEETHA","Yuvajana Sramika Rythu Congress Party","GUMMIDI SANDHYARANI","Telugu Desam","91398","Result Declared","Andhra Pradesh"
"Bapatla","32","MALYADRI SRIRAM","Telugu Desam","VARIKUTI AMRUTHAPANI","Yuvajana Sramika Rythu Congress Party","32754","Result Declared","Andhra Pradesh"
"Bhongir","14","DR. BOORA NARSAIAH GOUD","Telangana Rashtra Samithi","KOMATIREDDY RAJGOPAL REDDY","Indian National Congress","30494","Result Declared","Andhra Pradesh"
"CHELVELLA","10","KONDA VISHWESHWAR REDDY","Telangana Rashtra Samithi","PATLOLLA KARTIK REDDY","Indian National Congress","73023","Result Declared","Andhra Pradesh"
"Chittoor","42","NARAMALLI SIVAPRASAD","Telugu Desam","G.SAMANYAKIRAN","Yuvajana Sramika Rythu Congress Party","44138","Result Declared","Andhra Pradesh"
"Eluru","27","MAGANTI VENKATESWARA RAO (BABU)","Telugu Desam","THOTA CHANDRA SEKHAR","Yuvajana Sramika Rythu Congress Party","101926","Result Declared","Andhra Pradesh"
"Guntur","30","JAYADEV GALLA","Telugu Desam","BALASHOWRY VALLABHANENI","Yuvajana Sramika Rythu Congress Party","69111","Result Declared","Andhra Pradesh"
"Hindupur","37","KRISTAPPA NIMMALA","Telugu Desam","DUDDUKUNTA SREEDHAR REDDY","Yuvajana Sramika Rythu Congress Party","97325","Result Declared","Andhra Pradesh"
"Hyderabad","9","ASADUDDIN OWAISI","All India Majlis-E-Ittehadul Muslimeen","DR.BHAGAVANTH RAO","Bharatiya Janata Party","202454","Result Declared","Andhra Pradesh"
"Kadapa","38","Y.S. AVINASH REDDY","Yuvajana Sramika Rythu Congress Party","SRINIVASA REDDY REDDEPPAGARI","Telugu Desam","180679","Counting In Progress","Andhra Pradesh"
"Kakinada","23","THOTA NARASIMHAM","Telugu Desam","CHALAMALASETTY SUNIL","Yuvajana Sramika Rythu Congress Party","3431","Result Declared","Andhra Pradesh"
"Karimnagar","3","VINOD KUMAR BOINAPALLY","Telangana Rashtra Samithi","PONNAM PRABHAKAR","Indian National Congress","205077","Result Declared","Andhra Pradesh"
"Khammam","17","PONGULETI  SRINIVASA REDDY","Yuvajana Sramika Rythu Congress Party","NAMA NAGESWARA RAO","Telugu Desam","11974","Counting In Progress","Andhra Pradesh"
"Kurnool","35","BUTTA RENUKA","Yuvajana Sramika Rythu Congress Party","B.T. NAIDU","Telugu Desam","44131","Result Declared","Andhra Pradesh"
"Machilipatnam","28","KONAKALLA NARAYANA RAO","Telugu Desam","KOLUSU PARTHA SARATHY","Yuvajana Sramika Rythu Congress Party","81057","Result Declared","Andhra Pradesh"
"Mahabubabad","16","PROF. AZMEERA SEETARAM NAIK","Telangana Rashtra Samithi","P. BALRAM","Indian National Congress","34992","Result Declared","Andhra Pradesh"
"Mahbubnagar","11","AP JITHENDER REDDY","Telangana Rashtra Samithi","JAIPAL REDDY SUDINI","Indian National Congress","2590","Result Declared","Andhra Pradesh"
"Malkajgiri","7","CH.MALLA REDDY","Telugu Desam","HANUMANTH RAO MYNAMPALLY","Telangana Rashtra Samithi","28371","Result Declared","Andhra Pradesh"
"Medak","6","KALVAKUNTLA CHANDRASEKHAR RAO","Telangana Rashtra Samithi","DR.P. SHRAVAN KUMAR REDDY","Indian National Congress","397029","Result Declared","Andhra Pradesh"
"Nagarkurnool","12","YELLAIAH NANDI","Indian National Congress","DR. MANDA JAGANNATH","Telangana Rashtra Samithi","16676","Counting In Progress","Andhra Pradesh"
"Nalgonda","13","GUTHA SUKHENDER REDDY","Indian National Congress","TERA CHINNAPA REDDY","Telugu Desam","193156","Result Declared","Andhra Pradesh"
"Nandyal","34","S.P.Y REDDY","Yuvajana Sramika Rythu Congress Party","N.MD.FAROOK","Telugu Desam","105766","Result Declared","Andhra Pradesh"
"Narasaraopet","31","SAMBASIVA RAO RAYAPATI","Telugu Desam","AYODHYA RAMIREDDY ALLA","Yuvajana Sramika Rythu Congress Party","35280","Result Declared","Andhra Pradesh"
"Narsapuram","26","GOKARAJU GANGA RAJU","Bharatiya Janata Party","VANKA RAVINDRANATH","Yuvajana Sramika Rythu Congress Party","85351","Counting In Progress","Andhra Pradesh"
